snapshot,load_kW,pv_used_kW,wind_used_kW,dis_kW,ch_kW,battery_net_kW,soc_kWh,grid_import_kW,pv_kW,wind_kW,ren_potential_kW,ren_used_kW,spill_kW
2019-03-01 03:00:00,66.57868670571494,0.0,39.77507290817408,0.0,663.1417887534295,-663.1417887534295,646.350375520404,0.0,0.0,39.77507290817408,39.77507290817408,39.77507290817408,0.0
2019-03-01 04:00:00,74.81065600634238,0.0,27.536588936428206,0.0,17.227634157528353,-17.227634157528353,663.1417887534295,0.0,0.0,27.536588936428206,27.536588936428206,27.536588936428206,0.0
2019-03-01 05:00:00,94.12840092213,0.0,16.521953361856927,0.0,-0.0,0.0,663.1417887534295,0.0,0.0,16.521953361856927,16.521953361856927,16.521953361856927,0.0
2019-03-01 06:00:00,105.2898043661532,0.28772702740993583,8.56693878022211,0.0,-0.0,0.0,663.1417887534295,0.0,0.28772702740993583,8.56693878022211,8.854665807632045,8.854665807632045,0.0
2019-03-01 07:00:00,109.50598893816445,12.013782603493551,7.955014581634815,17.750403758411142,0.0,17.750403758411142,644.9302506384731,0.0,12.013782603493551,7.955014581634815,19.968797185128366,19.968797185128366,0.0
2019-03-01 08:00:00,105.7133851478363,22.430916046687706,14.686180766095045,68.59628833521725,0.0,68.59628833521725,574.5519124009899,-0.0,22.430916046687706,14.686180766095045,37.11709681278275,37.11709681278275,0.0
2019-03-01 09:00:00,102.88462762362698,34.046125964670765,25.70081634066633,43.1376853186629,0.0,43.1376853186629,530.2935613761821,-0.0,34.046125964670765,25.70081634066633,59.74694230533709,59.74694230533709,0.0
2019-03-01 10:00:00,91.09066728171447,52.609236069126545,40.998921305348674,0.0,2.517490092775222,-2.517490092775222,532.7473061023181,-0.0,52.609236069126545,40.998921305348674,93.60815737447521,93.60815737447521,0.0
2019-03-01 11:00:00,93.20821251330791,66.85408234417584,51.40163268133266,0.0,25.047502512208496,-25.047502512208496,557.160580803415,-0.0,66.85408234417584,51.40163268133266,118.2557150255085,118.2557150255085,0.0
2019-03-01 12:00:00,99.21249160418823,88.77793846550995,52.625481078507235,0.0,42.19092793981719,-42.19092793981719,598.2831922568681,-0.0,88.77793846550995,52.625481078507235,141.4034195440172,141.4034195440172,0.0
2019-03-01 13:00:00,105.27099862777953,111.39281113627942,48.95393588698349,0.0,55.075748395262906,-55.075748395262906,651.9643676270146,-0.0,111.39281113627942,48.95393588698349,160.3467470232629,160.3467470232629,0.0
2019-03-01 14:00:00,108.9062196371427,80.59894394864392,39.77507290817408,0.0,11.467797219818,-11.467797219818,663.1417887534295,-0.0,80.59894394864392,39.77507290817408,120.374016856818,120.374016856818,0.0
2019-03-01 15:00:00,123.59794118606595,48.66831916091341,33.04390672371385,0.0,-0.0,0.0,663.1417887534295,0.0,48.66831916091341,33.04390672371385,81.71222588462726,81.71222588462726,0.0
2019-03-01 16:00:00,178.63245131389905,0.7476185876143415,33.65583092230114,0.0,-0.0,0.0,663.1417887534295,0.0,0.7476185876143415,33.65583092230114,34.40344950991548,34.40344950991548,0.0
2019-03-01 17:00:00,245.6000644500429,0.0,36.10352771665032,209.49653673334967,0.0,209.49653673334967,448.2027814160392,-0.0,0.0,36.10352771665032,36.10352771665032,36.10352771665032,0.0
2019-03-01 18:00:00,303.5443600905926,0.0,33.65583092230114,269.8885291686989,0.0,269.8885291686989,171.30286958072372,-0.0,0.0,33.65583092230114,33.65583092230114,33.65583092230114,0.0
2019-03-01 19:00:00,311.13181505620094,0.0,28.148513135015502,166.96530962066745,0.0,166.96530962066745,0.0,0.0,0.0,28.148513135015502,28.148513135015502,28.148513135015502,0.0
2019-03-01 20:00:00,306.3550787834692,0.0,21.417346950555274,0.0,-0.0,0.0,0.0,0.0,0.0,21.417346950555274,21.417346950555274,21.417346950555274,0.0
2019-03-01 21:00:00,273.80551039726527,0.0,15.91002916326963,0.0,-0.0,0.0,0.0,0.0,0.0,15.91002916326963,15.91002916326963,15.91002916326963,0.0
2019-03-01 22:00:00,224.6739533733657,0.0,20.193498553380685,0.0,-0.0,0.0,0.0,0.0,0.0,20.193498553380685,20.193498553380685,20.193498553380685,0.0
2019-03-01 23:00:00,160.7317469918552,0.0,33.04390672371385,0.0,-0.0,0.0,0.0,0.0,0.0,33.04390672371385,33.04390672371385,33.04390672371385,0.0
2019-03-02 00:00:00,107.86068680892491,0.0,47.1181632912216,0.0,-0.0,0.0,0.0,0.0,0.0,47.1181632912216,47.1181632912216,47.1181632912216,0.0
2019-03-02 01:00:00,81.5522871842067,0.0,61.19241985872936,0.0,-0.0,0.0,0.0,0.0,0.0,61.19241985872936,61.19241985872936,61.19241985872936,0.0
2019-03-02 02:00:00,71.02267377560118,0.0,71.0226737756,0.0,-0.0,0.0,0.0,-0.0,0.0,74.0428280290625,74.0428280290625,71.0226737756,3.0201542534625077
2019-03-02 03:00:00,65.82903402513861,0.0,85.0574636036338,0.0,19.22842957853381,-19.22842957853381,18.741546513175752,-0.0,0.0,85.0574636036338,85.0574636036338,85.0574636036338,0.0
2019-03-02 04:00:00,75.20967453396159,0.0,84.41767615474927,0.0,9.208001620749263,-9.208001620749263,27.716392324886023,-0.0,0.0,91.17670558950674,91.17670558950674,84.41767615474927,6.7590294347574655
2019-03-02 05:00:00,95.0885474272497,0.0,94.2363265824432,0.852220844756793,0.0,0.852220844756793,26.84203179721102,-0.0,0.0,94.2363265824432,94.2363265824432,94.2363265824432,0.0
2019-03-02 06:00:00,106.5023778205242,0.0,94.8482507810305,11.6541270399695,0.0,11.6541270399695,14.885144411797144,-0.0,0.30895279172706225,94.8482507810305,95.15720357275757,94.8482507810305,0.3089527917270658
2019-03-02 07:00:00,111.53525576521133,7.6860851010572215,89.34093299374484,14.508237670197925,0.0,14.508237670197925,0.0,-0.0,7.6860851010572215,89.34093299374484,97.02701809480206,97.02701809480206,0.0
2019-03-02 08:00:00,114.0837511958084,19.235500414969504,94.8482507810305,0.0,-0.0,0.0,0.0,-0.0,31.97779315287967,94.8482507810305,126.82604393391017,114.08375119600001,12.742292737910162
2019-03-02 09:00:00,111.34661885677025,0.0,120.54906712169682,0.0,9.202448264696821,-9.202448264696821,0.0,-0.0,40.14027874194351,120.54906712169682,160.68934586364034,120.54906712169682,40.14027874194352
2019-03-02 10:00:00,99.6620682269313,0.0,141.35448987366482,0.0,41.692421646764785,-41.692421646764785,8.75649373528109,-0.0,80.01877305730912,141.35448987366482,221.37326293097394,141.35448987366482,80.01877305730912
2019-03-02 11:00:00,101.50482508206508,64.54047403360906,163.9956852213947,0.0,127.03133417300374,-127.03133417300374,132.5712674956902,-0.0,64.54047403360906,163.9956852213947,228.53615925500375,228.53615925500375,0.0
2019-03-02 12:00:00,106.51399886739381,0.0,106.513998867,0.0,-0.0,0.0,132.5712674956902,-0.0,46.34999401383172,179.9057143846643,226.255708398496,106.513998867,119.74170953149601
