,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-05 15:00:00,132.04981964900946,0.0,45.26593542,3.2894841e-08,0.0,86.783884,663.9725,0.0,45.26593542,45.26593542,-3.2894841e-08
2019-01-05 16:00:00,191.12704043273567,0.0,39.14891712,8.5448138e-10,0.0,151.97812,663.9725,0.0,39.14891712,39.14891712,-8.5448138e-10
2019-01-05 17:00:00,267.04445519557544,0.0,29.36168784,0.0,237.68277,0.0,663.9725,0.0,29.36168784,29.36168784,237.68277
2019-01-05 18:00:00,304.6565904544485,0.0,18.96275673,0.0,285.69383,0.0,420.11513,0.0,18.96275673,18.96275673,285.69383
2019-01-05 19:00:00,312.45109567198887,0.0,9.78722928,0.0,123.78374,178.88012,126.99944,0.0,9.78722928,9.78722928,123.78374
2019-01-05 20:00:00,307.8375149977811,0.0,4.28191281,0.0,0.0,303.5556,0.0,0.0,4.28191281,4.28191281,0.0
2019-01-05 21:00:00,275.52816849334556,0.0,2.44680732,0.0,0.0,273.08136,0.0,0.0,2.44680732,2.44680732,0.0
2019-01-05 22:00:00,226.97997010557447,0.0,3.05850915,0.0,0.0,223.92146,0.0,0.0,3.05850915,3.05850915,0.0
2019-01-05 23:00:00,163.42387975177348,0.0,5.5053164699999995,0.0,0.0,157.91856,0.0,0.0,5.5053164699999995,5.5053164699999995,0.0
2019-01-06 00:00:00,110.94961503059957,0.0,7.952123789999999,0.0,0.0,102.99749,0.0,0.0,7.952123789999999,7.952123789999999,0.0
2019-01-06 01:00:00,84.89551670478129,0.0,11.010632939999999,0.0,0.0,73.884884,0.0,0.0,11.010632939999999,11.010632939999999,0.0
2019-01-06 02:00:00,74.46511305899655,0.0,15.29254575,663.9725,0.0,723.14507,0.0,0.0,15.29254575,15.29254575,-663.9725
2019-01-06 03:00:00,69.14314574186255,0.0,19.57445856,16.812159,0.0,66.380846,647.16034,0.0,19.57445856,19.57445856,-16.812159
2019-01-06 04:00:00,78.39432535631913,0.0,22.021265879999998,0.42569338,0.0,56.798753,663.54681,0.0,22.021265879999998,22.021265879999998,-0.42569338
2019-01-06 05:00:00,97.94963319274463,0.0,24.4680732,0.010778797,0.0,73.492339,663.96172,0.0,24.4680732,24.4680732,-0.010778797
2019-01-06 06:00:00,120.62983061039158,0.0,29.36168784,0.00027292524,0.0,91.268416,663.97223,0.0,29.36168784,29.36168784,-0.00027292524
2019-01-06 07:00:00,125.86439729522453,0.0,37.92551346,6.9106215e-06,0.0,87.938891,663.9725,0.0,37.92551346,37.92551346,-6.9106215e-06
